|  TACT  |   AC   |   DR   |   CR   |   IP   |   AR   |
|00000003|00000000|0000F000|0000F000|00000002|00000001|
|00000007|00000061|0000F500|0000F500|00000003|00000002|
|0000000d|00000061|00000061|00005000|00000004|00000000|
|00000014|00000061|00000061|00003000|00000006|00000000|
|0000001b|00000061|00000061|00004000|00000007|00000000|
|0000001f|00000061|0000F600|0000F600|00000008|00000007|
|00000023|00000062|0000F500|0000F500|00000009|00000008|
|00000029|00000062|00000062|00005000|0000000A|00000000|
|0000002d|00000062|00000004|00006004|00000004|0000000A|
|00000034|00000062|00000062|00003000|00000006|00000000|
|0000003b|00000062|00000062|00004000|00000007|00000000|
|0000003f|00000062|0000F600|0000F600|00000008|00000007|
|00000043|0000006F|0000F500|0000F500|00000009|00000008|
|00000049|0000006F|0000006F|00005000|0000000A|00000000|
|0000004d|0000006F|00000004|00006004|00000004|0000000A|
|00000054|0000006F|0000006F|00003000|00000006|00000000|
|0000005b|0000006F|0000006F|00004000|00000007|00000000|
|0000005f|0000006F|0000F600|0000F600|00000008|00000007|
|00000063|00000062|0000F500|0000F500|00000009|00000008|
|00000069|00000062|00000062|00005000|0000000A|00000000|
|0000006d|00000062|00000004|00006004|00000004|0000000A|
|00000074|00000062|00000062|00003000|00000006|00000000|
|0000007b|00000062|00000062|00004000|00000007|00000000|
|0000007f|00000062|0000F600|0000F600|00000008|00000007|
|00000083|00000061|0000F500|0000F500|00000009|00000008|
|00000089|00000061|00000061|00005000|0000000A|00000000|
|0000008d|00000061|00000004|00006004|00000004|0000000A|
|00000094|00000061|00000061|00003000|00000006|00000000|
|0000009b|00000061|00000061|00004000|00000007|00000000|
|0000009f|00000061|0000F600|0000F600|00000008|00000007|
|000000a3|00000000|0000F500|0000F500|00000009|00000008|
|000000a9|00000000|00000000|00005000|0000000A|00000000|
|000000ad|00000000|00000004|00006004|00000004|0000000A|
|000000b4|00000000|00000000|00003000|00000005|00000000|
|000000b8|00000000|0000000B|0000600B|0000000B|00000005|
|000000bb|00000000|0000F000|0000F000|0000000C|0000000B|
|000000be|00000000|0000F100|0000F100|0000000D|0000000C|
