|  TACT  |   AC   |   DR   |   CR   |   IP   |   AR   |
|00000003|00000000|0000F000|0000F000|0000000E|0000000D|
|0000000d|00000068|00000068|00004C00|0000000F|00000001|
|00000010|00000068|00007015|00007015|00000010|0000000F|
|00000013|00000068|0000F600|0000F600|00000011|00000010|
|0000001a|00000001|00000001|00004000|00000012|00000000|
|0000001e|00000002|0000F300|0000F300|00000013|00000012|
|00000024|00000002|00000002|00005000|00000014|00000000|
|00000028|00000002|0000000E|0000600E|0000000E|00000014|
|00000032|00000065|00000065|00004C00|0000000F|00000002|
|00000035|00000065|00007015|00007015|00000010|0000000F|
|00000038|00000065|0000F600|0000F600|00000011|00000010|
|0000003f|00000002|00000002|00004000|00000012|00000000|
|00000043|00000003|0000F300|0000F300|00000013|00000012|
|00000049|00000003|00000003|00005000|00000014|00000000|
|0000004d|00000003|0000000E|0000600E|0000000E|00000014|
|00000057|0000006C|0000006C|00004C00|0000000F|00000003|
|0000005a|0000006C|00007015|00007015|00000010|0000000F|
|0000005d|0000006C|0000F600|0000F600|00000011|00000010|
|00000064|00000003|00000003|00004000|00000012|00000000|
|00000068|00000004|0000F300|0000F300|00000013|00000012|
|0000006e|00000004|00000004|00005000|00000014|00000000|
|00000072|00000004|0000000E|0000600E|0000000E|00000014|
|0000007c|0000006C|0000006C|00004C00|0000000F|00000004|
|0000007f|0000006C|00007015|00007015|00000010|0000000F|
|00000082|0000006C|0000F600|0000F600|00000011|00000010|
|00000089|00000004|00000004|00004000|00000012|00000000|
|0000008d|00000005|0000F300|0000F300|00000013|00000012|
|00000093|00000005|00000005|00005000|00000014|00000000|
|00000097|00000005|0000000E|0000600E|0000000E|00000014|
|000000a1|0000006F|0000006F|00004C00|0000000F|00000005|
|000000a4|0000006F|00007015|00007015|00000010|0000000F|
|000000a7|0000006F|0000F600|0000F600|00000011|00000010|
|000000ae|00000005|00000005|00004000|00000012|00000000|
|000000b2|00000006|0000F300|0000F300|00000013|00000012|
|000000b8|00000006|00000006|00005000|00000014|00000000|
|000000bc|00000006|0000000E|0000600E|0000000E|00000014|
|000000c6|00000020|00000020|00004C00|0000000F|00000006|
|000000c9|00000020|00007015|00007015|00000010|0000000F|
|000000cc|00000020|0000F600|0000F600|00000011|00000010|
|000000d3|00000006|00000006|00004000|00000012|00000000|
|000000d7|00000007|0000F300|0000F300|00000013|00000012|
|000000dd|00000007|00000007|00005000|00000014|00000000|
|000000e1|00000007|0000000E|0000600E|0000000E|00000014|
|000000eb|00000077|00000077|00004C00|0000000F|00000007|
|000000ee|00000077|00007015|00007015|00000010|0000000F|
|000000f1|00000077|0000F600|0000F600|00000011|00000010|
|000000f8|00000007|00000007|00004000|00000012|00000000|
|000000fc|00000008|0000F300|0000F300|00000013|00000012|
|00000102|00000008|00000008|00005000|00000014|00000000|
|00000106|00000008|0000000E|0000600E|0000000E|00000014|
|00000110|0000006F|0000006F|00004C00|0000000F|00000008|
|00000113|0000006F|00007015|00007015|00000010|0000000F|
|00000116|0000006F|0000F600|0000F600|00000011|00000010|
|0000011d|00000008|00000008|00004000|00000012|00000000|
|00000121|00000009|0000F300|0000F300|00000013|00000012|
|00000127|00000009|00000009|00005000|00000014|00000000|
|0000012b|00000009|0000000E|0000600E|0000000E|00000014|
|00000135|00000072|00000072|00004C00|0000000F|00000009|
|00000138|00000072|00007015|00007015|00000010|0000000F|
|0000013b|00000072|0000F600|0000F600|00000011|00000010|
|00000142|00000009|00000009|00004000|00000012|00000000|
|00000146|0000000A|0000F300|0000F300|00000013|00000012|
|0000014c|0000000A|0000000A|00005000|00000014|00000000|
|00000150|0000000A|0000000E|0000600E|0000000E|00000014|
|0000015a|0000006C|0000006C|00004C00|0000000F|0000000A|
|0000015d|0000006C|00007015|00007015|00000010|0000000F|
|00000160|0000006C|0000F600|0000F600|00000011|00000010|
|00000167|0000000A|0000000A|00004000|00000012|00000000|
|0000016b|0000000B|0000F300|0000F300|00000013|00000012|
|00000171|0000000B|0000000B|00005000|00000014|00000000|
|00000175|0000000B|0000000E|0000600E|0000000E|00000014|
|0000017f|00000064|00000064|00004C00|0000000F|0000000B|
|00000182|00000064|00007015|00007015|00000010|0000000F|
|00000185|00000064|0000F600|0000F600|00000011|00000010|
|0000018c|0000000B|0000000B|00004000|00000012|00000000|
|00000190|0000000C|0000F300|0000F300|00000013|00000012|
|00000196|0000000C|0000000C|00005000|00000014|00000000|
|0000019a|0000000C|0000000E|0000600E|0000000E|00000014|
|000001a4|00000000|00000000|00004C00|0000000F|0000000C|
|000001a8|00000000|00000015|00007015|00000015|0000000F|
|000001ab|00000000|0000F000|0000F000|00000016|00000015|
|000001ae|00000000|0000F100|0000F100|00000017|00000016|
